ID                                        0x9bd
Delivery_person_ID             RANCHIRES12DEL02
Delivery_person_Age                       37.00
Delivery_person_Ratings                    4.90
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           01-04-2022
Time_Orderd                               10:25
Time_Order_picked                         10:35
Weather conditions                   Sandstorms
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          22.00
Name: 16179, dtype: object
