ID                                       0x468c
Delivery_person_ID                MUMRES11DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   18.994237
Restaurant_longitude                  72.825553
Delivery_location_latitude            19.124237
Delivery_location_longitude           72.955553
Order_Date                           02-04-2022
Time_Orderd                               18:60
Time_Order_picked                         19:15
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 16924, dtype: object
