ID                                     0x3dcd
Delivery_person_ID             CHENRES13DEL01
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 13.027018
Restaurant_longitude                80.254791
Delivery_location_latitude          13.067018
Delivery_location_longitude         80.294791
Order_Date                         21-03-2022
Time_Orderd                             13:20
Time_Order_picked                       13:30
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    11.000000
Name: 39656, dtype: object
