ID                                        0xaa4
Delivery_person_ID               PUNERES08DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                    18.53408
Restaurant_longitude                   73.89852
Delivery_location_latitude             18.57408
Delivery_location_longitude            73.93852
Order_Date                           17-03-2022
Time_Orderd                                 NaN
Time_Order_picked                         13:05
Weather conditions                   Sandstorms
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                     1.00000
Festival                                     No
City                              Metropolitian
Time_taken (min)                       25.00000
Name: 42443, dtype: object
