ID                                     0xd0d8
Delivery_person_ID             AURGRES07DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 19.875908
Restaurant_longitude                75.358888
Delivery_location_latitude          20.005908
Delivery_location_longitude         75.488888
Order_Date                         14-02-2022
Time_Orderd                               NaN
Time_Order_picked                       24:10
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 8578, dtype: object
