ID                                     0xae81
Delivery_person_ID             PUNERES15DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 18.636215
Restaurant_longitude                73.751081
Delivery_location_latitude          18.676215
Delivery_location_longitude         73.791081
Order_Date                         24-03-2022
Time_Orderd                             13:20
Time_Order_picked                       13:35
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 10625, dtype: object
