ID                                       0x4d13
Delivery_person_ID                MUMRES04DEL03
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   19.254567
Restaurant_longitude                  72.848923
Delivery_location_latitude            19.314567
Delivery_location_longitude           72.908923
Order_Date                           09-03-2022
Time_Orderd                               20:20
Time_Order_picked                         20:25
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      25.000000
Name: 23116, dtype: object
