ID                                     0xcc44
Delivery_person_ID             LUDHRES18DEL03
Delivery_person_Age                 30.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 30.890184
Restaurant_longitude                75.829615
Delivery_location_latitude          30.980184
Delivery_location_longitude         75.919615
Order_Date                         18-02-2022
Time_Orderd                             18:30
Time_Order_picked                       18:35
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    42.000000
Name: 13577, dtype: object
