ID                                       0xb98d
Delivery_person_ID              COIMBRES17DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   11.026117
Restaurant_longitude                  76.944652
Delivery_location_latitude            11.136117
Delivery_location_longitude           77.054652
Order_Date                           16-03-2022
Time_Orderd                               21:30
Time_Order_picked                         21:35
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    Yes
City                                        NaN
Time_taken (min)                      48.000000
Name: 37362, dtype: object
