ID                                       0xdc1d
Delivery_person_ID                BHPRES14DEL02
Delivery_person_Age                       32.00
Delivery_person_Ratings                    4.60
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.02
Delivery_location_longitude                0.02
Order_Date                           17-02-2022
Time_Orderd                                8:30
Time_Order_picked                          8:45
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                                      Urban
Time_taken (min)                          21.00
Name: 45250, dtype: object
