ID                                    0x17ee
Delivery_person_ID             SURRES14DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                21.157729
Restaurant_longitude               72.768726
Delivery_location_latitude         21.197729
Delivery_location_longitude        72.808726
Order_Date                        13-03-2022
Time_Orderd                            12:35
Time_Order_picked                      12:40
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   41.000000
Name: 44502, dtype: object
