ID                                      0x92f2
Delivery_person_ID             COIMBRES16DEL02
Delivery_person_Age                  31.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.010375
Restaurant_longitude                 76.952950
Delivery_location_latitude           11.030375
Delivery_location_longitude          76.972950
Order_Date                          07-03-2022
Time_Orderd                               8:45
Time_Order_picked                         8:60
Weather conditions                       Windy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     34.000000
Name: 42700, dtype: object
