ID                                    0xd0ec
Delivery_person_ID             ALHRES15DEL03
Delivery_person_Age                25.000000
Delivery_person_Ratings                  NaN
Restaurant_latitude                25.449872
Restaurant_longitude               81.836167
Delivery_location_latitude         25.509872
Delivery_location_longitude        81.896167
Order_Date                        15-02-2022
Time_Orderd                            20:50
Time_Order_picked                      21:05
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   21.000000
Name: 26002, dtype: object
