ID                                       0x739c
Delivery_person_ID                SURRES08DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   21.173343
Restaurant_longitude                  72.792731
Delivery_location_latitude            21.223343
Delivery_location_longitude           72.842731
Order_Date                           26-03-2022
Time_Orderd                               18:50
Time_Order_picked                         19:05
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      24.000000
Name: 7545, dtype: object
