ID                                    0xd6ca
Delivery_person_ID             ALHRES17DEL01
Delivery_person_Age                38.000000
Delivery_person_Ratings             3.600000
Restaurant_latitude                25.452350
Restaurant_longitude               81.841889
Delivery_location_latitude         25.562350
Delivery_location_longitude        81.951889
Order_Date                        18-02-2022
Time_Orderd                            18:25
Time_Order_picked                      18:30
Weather conditions                Sandstorms
Road_traffic_density                  Medium
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   31.000000
Name: 13676, dtype: object
