ID                                      0x7caa
Delivery_person_ID             COIMBRES15DEL01
Delivery_person_Age                  21.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  11.006686
Restaurant_longitude                 76.951736
Delivery_location_latitude           11.016686
Delivery_location_longitude          76.961736
Order_Date                          30-03-2022
Time_Orderd                              11:55
Time_Order_picked                        12:10
Weather conditions                      Stormy
Road_traffic_density                      High
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   0.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     18.000000
Name: 2889, dtype: object
