ID                                    0x5b4b
Delivery_person_ID             HYDRES14DEL02
Delivery_person_Age                29.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                17.426228
Restaurant_longitude               78.407495
Delivery_location_latitude         17.446228
Delivery_location_longitude        78.427495
Order_Date                        09-03-2022
Time_Orderd                            11:30
Time_Order_picked                      11:40
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   24.000000
Name: 8412, dtype: object
