ID                                    0xde5d
Delivery_person_ID             GOARES03DEL01
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                15.574828
Restaurant_longitude               73.766883
Delivery_location_latitude         15.614828
Delivery_location_longitude        73.806883
Order_Date                        13-02-2022
Time_Orderd                            13:10
Time_Order_picked                      13:15
Weather conditions                Sandstorms
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 24607, dtype: object
