ID                                    0xc99a
Delivery_person_ID             DEHRES19DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                30.372202
Restaurant_longitude               78.077151
Delivery_location_latitude         30.452202
Delivery_location_longitude        78.157151
Order_Date                        14-02-2022
Time_Orderd                            18:50
Time_Order_picked                      18:55
Weather conditions                     Windy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   18.000000
Name: 20907, dtype: object
