ID                                    0xc76c
Delivery_person_ID             AGRRES07DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.800000
Restaurant_latitude                27.160934
Restaurant_longitude               78.044095
Delivery_location_latitude         27.180934
Delivery_location_longitude        78.064095
Order_Date                        17-02-2022
Time_Orderd                             8:10
Time_Order_picked                       8:20
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   15.000000
Name: 14241, dtype: object
