ID                                       0x337e
Delivery_person_ID             RANCHIRES19DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   23.333017
Restaurant_longitude                  85.317200
Delivery_location_latitude            23.403017
Delivery_location_longitude           85.387200
Order_Date                           10-03-2022
Time_Orderd                               17:40
Time_Order_picked                         17:45
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 43855, dtype: object
