ID                                    0xbf03
Delivery_person_ID             KOCRES06DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                -9.982834
Restaurant_longitude              -76.283268
Delivery_location_latitude         10.032834
Delivery_location_longitude        76.333268
Order_Date                        11-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:30
Weather conditions                       NaN
Road_traffic_density                     NaN
Vehicle_condition                          3
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   16.000000
Name: 30508, dtype: object
