ID                                    0xb4d4
Delivery_person_ID             MYSRES08DEL01
Delivery_person_Age                24.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                12.297954
Restaurant_longitude               76.665169
Delivery_location_latitude         12.337954
Delivery_location_longitude        76.705169
Order_Date                        17-03-2022
Time_Orderd                            13:45
Time_Order_picked                      13:55
Weather conditions                     Sunny
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                 Yes
City                           Metropolitian
Time_taken (min)                   44.000000
Name: 27706, dtype: object
