ID                                     0xaa9
Delivery_person_ID             MUMRES18DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                19.109300
Restaurant_longitude               72.825451
Delivery_location_latitude         19.199300
Delivery_location_longitude        72.915451
Order_Date                        10-03-2022
Time_Orderd                              NaN
Time_Order_picked                      18:25
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 11530, dtype: object
