ID                                     0xdcb0
Delivery_person_ID             KNPRES010DEL01
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 26.477750
Restaurant_longitude                80.351569
Delivery_location_latitude          26.517750
Delivery_location_longitude         80.391569
Order_Date                         11-02-2022
Time_Orderd                             12:20
Time_Order_picked                       12:35
Weather conditions                      Windy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 19334, dtype: object
