ID                                       0xccb6
Delivery_person_ID                KOLRES01DEL02
Delivery_person_Age                   31.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.514688
Restaurant_longitude                  88.393294
Delivery_location_latitude            22.534688
Delivery_location_longitude           88.413294
Order_Date                           15-02-2022
Time_Orderd                               11:15
Time_Order_picked                         11:20
Weather conditions                        Windy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      26.000000
Name: 20491, dtype: object
