ID                                       0x7a7e
Delivery_person_ID                MUMRES04DEL02
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   19.254567
Restaurant_longitude                  72.848923
Delivery_location_latitude            19.384567
Delivery_location_longitude           72.978923
Order_Date                           14-03-2022
Time_Orderd                               22:30
Time_Order_picked                         22:35
Weather conditions                        Windy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                        NaN
Time_taken (min)                      17.000000
Name: 28889, dtype: object
