ID                                    0x2dff
Delivery_person_ID             VADRES13DEL03
Delivery_person_Age                25.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                22.310237
Restaurant_longitude               73.158921
Delivery_location_latitude         22.370237
Delivery_location_longitude        73.218921
Order_Date                        01-04-2022
Time_Orderd                            19:30
Time_Order_picked                      19:35
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   37.000000
Name: 40784, dtype: object
