ID                                     0xc81a
Delivery_person_ID             GOARES010DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 15.546594
Restaurant_longitude                73.760431
Delivery_location_latitude          15.586594
Delivery_location_longitude         73.800431
Order_Date                         17-02-2022
Time_Orderd                             14:50
Time_Order_picked                       14:55
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    32.000000
Name: 12532, dtype: object
