ID                                     0xcd0b
Delivery_person_ID             KNPRES010DEL01
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 26.477750
Restaurant_longitude                80.351569
Delivery_location_latitude          26.517750
Delivery_location_longitude         80.391569
Order_Date                         17-02-2022
Time_Orderd                             15:20
Time_Order_picked                       15:35
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    19.000000
Name: 17745, dtype: object
