ID                                     0xc64d
Delivery_person_ID             LUDHRES05DEL03
Delivery_person_Age                 28.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 30.905562
Restaurant_longitude                75.832841
Delivery_location_latitude          31.045562
Delivery_location_longitude         75.972841
Order_Date                         18-02-2022
Time_Orderd                             20:20
Time_Order_picked                       20:30
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    24.000000
Name: 29137, dtype: object
