ID                                     0xd6c9
Delivery_person_ID             LUDHRES07DEL01
Delivery_person_Age                     26.00
Delivery_person_Ratings                  4.70
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.01
Delivery_location_longitude              0.01
Order_Date                         13-02-2022
Time_Orderd                              8:25
Time_Order_picked                        8:30
Weather conditions                      Sunny
Road_traffic_density                      Low
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                      0.00
Festival                                   No
City                                      NaN
Time_taken (min)                        22.00
Name: 32361, dtype: object
