ID                                       0x2de8
Delivery_person_ID              COIMBRES14DEL03
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   11.003681
Restaurant_longitude                  76.975525
Delivery_location_latitude            11.063681
Delivery_location_longitude           77.035525
Order_Date                           07-03-2022
Time_Orderd                               23:25
Time_Order_picked                         23:30
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      17.000000
Name: 11214, dtype: object
