ID                                        0x8cc
Delivery_person_ID               CHENRES08DEL01
Delivery_person_Age                   25.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   13.022394
Restaurant_longitude                  80.242439
Delivery_location_latitude            13.062394
Delivery_location_longitude           80.282439
Order_Date                           26-03-2022
Time_Orderd                               15:40
Time_Order_picked                         15:50
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      16.000000
Name: 44623, dtype: object
