ID                                     0x6fda
Delivery_person_ID             PUNERES09DEL02
Delivery_person_Age                 33.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 18.536562
Restaurant_longitude                73.896485
Delivery_location_latitude          18.556562
Delivery_location_longitude         73.916485
Order_Date                         05-04-2022
Time_Orderd                              9:45
Time_Order_picked                        9:55
Weather conditions                 Sandstorms
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 14114, dtype: object
