ID                                        0x43d
Delivery_person_ID                HYDRES06DEL03
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   17.455894
Restaurant_longitude                  78.375467
Delivery_location_latitude            17.485894
Delivery_location_longitude           78.405467
Order_Date                           05-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:45
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      19.000000
Name: 11927, dtype: object
