ID                                    0xd24f
Delivery_person_ID             GOARES15DEL03
Delivery_person_Age                 21.00000
Delivery_person_Ratings              5.00000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.54315
Delivery_location_longitude         73.81346
Order_Date                        15-02-2022
Time_Orderd                            21:15
Time_Order_picked                      21:30
Weather conditions                Sandstorms
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    36.00000
Name: 7742, dtype: object
