ID                                    0xbcae
Delivery_person_ID             MUMRES20DEL03
Delivery_person_Age                33.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                19.103249
Restaurant_longitude               72.846749
Delivery_location_latitude         19.133249
Delivery_location_longitude        72.876749
Order_Date                        30-03-2022
Time_Orderd                            18:10
Time_Order_picked                      18:15
Weather conditions                       Fog
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   17.000000
Name: 29984, dtype: object
