ID                                       0x52cc
Delivery_person_ID                JAPRES02DEL03
Delivery_person_Age                   20.000000
Delivery_person_Ratings                4.000000
Restaurant_latitude                   26.914142
Restaurant_longitude                  75.805704
Delivery_location_latitude            27.004142
Delivery_location_longitude           75.895704
Order_Date                           27-03-2022
Time_Orderd                               19:55
Time_Order_picked                         19:60
Weather conditions                          Fog
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      35.000000
Name: 4907, dtype: object
