ID                                     0xa3e
Delivery_person_ID             SURRES11DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                21.157735
Restaurant_longitude               72.768778
Delivery_location_latitude         21.177735
Delivery_location_longitude        72.788778
Order_Date                        01-03-2022
Time_Orderd                              NaN
Time_Order_picked                       8:20
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 43978, dtype: object
