ID                                     0xe10a
Delivery_person_ID             LUDHRES07DEL03
Delivery_person_Age                     37.00
Delivery_person_Ratings                  4.10
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.09
Delivery_location_longitude              0.09
Order_Date                         18-02-2022
Time_Orderd                             19:25
Time_Order_picked                       19:30
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                        46.00
Name: 33400, dtype: object
