ID                                     0xc41a
Delivery_person_ID             DEHRES010DEL02
Delivery_person_Age                 22.000000
Delivery_person_Ratings              4.600000
Restaurant_latitude                 30.328174
Restaurant_longitude                78.049117
Delivery_location_latitude          30.348174
Delivery_location_longitude         78.069117
Order_Date                         15-02-2022
Time_Orderd                             10:25
Time_Order_picked                       10:35
Weather conditions                        Fog
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    10.000000
Name: 5362, dtype: object
