ID                                     0x18cd
Delivery_person_ID             INDORES02DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 22.651847
Restaurant_longitude                75.881991
Delivery_location_latitude          22.691847
Delivery_location_longitude         75.921991
Order_Date                         05-04-2022
Time_Orderd                               NaN
Time_Order_picked                       16:30
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    19.000000
Name: 30371, dtype: object
