ID                                       0xb4ff
Delivery_person_ID               PUNERES08DEL03
Delivery_person_Age                    33.00000
Delivery_person_Ratings                 5.00000
Restaurant_latitude                    18.53408
Restaurant_longitude                   73.89852
Delivery_location_latitude             18.56408
Delivery_location_longitude            73.92852
Order_Date                           30-03-2022
Time_Orderd                               18:35
Time_Order_picked                         18:40
Weather conditions                        Windy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                     0.00000
Festival                                     No
City                              Metropolitian
Time_taken (min)                       28.00000
Name: 5174, dtype: object
