ID                                     0xe1e6
Delivery_person_ID             AURGRES01DEL01
Delivery_person_Age                 20.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.876219
Restaurant_longitude                75.346017
Delivery_location_latitude          19.916219
Delivery_location_longitude         75.386017
Order_Date                         13-02-2022
Time_Orderd                             16:25
Time_Order_picked                       16:40
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    21.000000
Name: 33514, dtype: object
