ID                                      0x79c
Delivery_person_ID             HYDRES010DEL02
Delivery_person_Age                 34.000000
Delivery_person_Ratings              4.500000
Restaurant_latitude                 17.428294
Restaurant_longitude                78.404423
Delivery_location_latitude          17.448294
Delivery_location_longitude         78.424423
Order_Date                         07-03-2022
Time_Orderd                             11:35
Time_Order_picked                       11:45
Weather conditions                        Fog
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                      NaN
Time_taken (min)                    28.000000
Name: 8276, dtype: object
