ID                                      0x3ce5
Delivery_person_ID             COIMBRES12DEL03
Delivery_person_Age                  28.000000
Delivery_person_Ratings               4.900000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.030762
Delivery_location_longitude          77.011876
Order_Date                          13-03-2022
Time_Orderd                              19:35
Time_Order_picked                        19:45
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     13.000000
Name: 5869, dtype: object
