ID                                     0xf03
Delivery_person_ID             VADRES03DEL01
Delivery_person_Age                    38.00
Delivery_person_Ratings                 4.00
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.33
Delivery_location_longitude            73.18
Order_Date                        26-03-2022
Time_Orderd                            11:35
Time_Order_picked                      11:50
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       33.00
Name: 39043, dtype: object
