ID                                     0x34ac
Delivery_person_ID             PUNERES01DEL01
Delivery_person_Age                 29.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 18.569156
Restaurant_longitude                73.774723
Delivery_location_latitude          18.579156
Delivery_location_longitude         73.784723
Order_Date                         28-03-2022
Time_Orderd                             11:40
Time_Order_picked                       11:55
Weather conditions                 Sandstorms
Road_traffic_density                     High
Vehicle_condition                           1
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    23.000000
Name: 9860, dtype: object
