ID                                       0xe0c3
Delivery_person_ID               LUDHRES03DEL03
Delivery_person_Age                   29.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   30.887220
Restaurant_longitude                  75.804893
Delivery_location_latitude            30.917220
Delivery_location_longitude           75.834893
Order_Date                           17-02-2022
Time_Orderd                               19:25
Time_Order_picked                         19:35
Weather conditions                   Sandstorms
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                    NaN
City                              Metropolitian
Time_taken (min)                      11.000000
Name: 11534, dtype: object
