ID                                     0x1ec4
Delivery_person_ID             PUNERES12DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                 18.520016
Restaurant_longitude                73.830547
Delivery_location_latitude          18.600016
Delivery_location_longitude         73.910547
Order_Date                         25-03-2022
Time_Orderd                               NaN
Time_Order_picked                       18:10
Weather conditions                     Cloudy
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                  Yes
City                            Metropolitian
Time_taken (min)                    40.000000
Name: 14869, dtype: object
