ID                                     0xb59e
Delivery_person_ID             BANGRES14DEL02
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 12.949934
Restaurant_longitude                77.699386
Delivery_location_latitude          13.079934
Delivery_location_longitude         77.829386
Order_Date                         29-03-2022
Time_Orderd                             21:15
Time_Order_picked                       21:20
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    27.000000
Name: 35457, dtype: object
