ID                                       0xc1a8
Delivery_person_ID                KNPRES02DEL02
Delivery_person_Age                   36.000000
Delivery_person_Ratings                3.900000
Restaurant_latitude                   26.471617
Restaurant_longitude                  80.313564
Delivery_location_latitude            26.551617
Delivery_location_longitude           80.393564
Order_Date                           14-02-2022
Time_Orderd                               23:15
Time_Order_picked                         23:20
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      38.000000
Name: 3500, dtype: object
