ID                                    0xd10a
Delivery_person_ID             KOCRES01DEL01
Delivery_person_Age                35.000000
Delivery_person_Ratings             3.800000
Restaurant_latitude                 9.979363
Restaurant_longitude               76.285001
Delivery_location_latitude         10.049363
Delivery_location_longitude        76.355001
Order_Date                        14-02-2022
Time_Orderd                            22:55
Time_Order_picked                      23:05
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   36.000000
Name: 37547, dtype: object
