ID                                     0x2bf4
Delivery_person_ID             MUMRES010DEL01
Delivery_person_Age                 24.000000
Delivery_person_Ratings              4.800000
Restaurant_latitude                 19.003517
Restaurant_longitude                72.827650
Delivery_location_latitude          19.013517
Delivery_location_longitude         72.837650
Order_Date                         24-03-2022
Time_Orderd                             11:60
Time_Order_picked                       12:15
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 5782, dtype: object
