ID                                    0xc7f4
Delivery_person_ID             ALHRES03DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                25.451517
Restaurant_longitude               81.832616
Delivery_location_latitude         25.581517
Delivery_location_longitude        81.962616
Order_Date                        18-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:25
Weather conditions                     Sunny
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 33615, dtype: object
