ID                                    0xc08b
Delivery_person_ID             KOLRES14DEL02
Delivery_person_Age                23.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude               -22.552996
Restaurant_longitude               88.352310
Delivery_location_latitude         22.602996
Delivery_location_longitude        88.402310
Order_Date                        13-02-2022
Time_Orderd                            22:30
Time_Order_picked                      22:35
Weather conditions                    Stormy
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   12.000000
Name: 38621, dtype: object
