ID                                      0x9f7f
Delivery_person_ID             CHENRES010DEL03
Delivery_person_Age                  37.000000
Delivery_person_Ratings               3.600000
Restaurant_latitude                  13.066762
Restaurant_longitude                 80.251865
Delivery_location_latitude           13.156762
Delivery_location_longitude          80.341865
Order_Date                          31-03-2022
Time_Orderd                              18:30
Time_Order_picked                        18:45
Weather conditions                  Sandstorms
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 18567, dtype: object
