ID                                     0xd1a6
Delivery_person_ID             AURGRES16DEL02
Delivery_person_Age                     37.00
Delivery_person_Ratings                  4.70
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.05
Delivery_location_longitude              0.05
Order_Date                         11-02-2022
Time_Orderd                             19:20
Time_Order_picked                       19:35
Weather conditions                        Fog
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Drinks
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                                    Urban
Time_taken (min)                        25.00
Name: 30580, dtype: object
