ID                                      0x1bee
Delivery_person_ID             COIMBRES11DEL02
Delivery_person_Age                  35.000000
Delivery_person_Ratings               4.800000
Restaurant_latitude                  11.001753
Restaurant_longitude                 76.986241
Delivery_location_latitude           11.081753
Delivery_location_longitude          77.066241
Order_Date                          02-04-2022
Time_Orderd                              20:60
Time_Order_picked                        21:15
Weather conditions                         Fog
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 44050, dtype: object
