ID                                    0xcb77
Delivery_person_ID             KOCRES13DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             5.000000
Restaurant_latitude                 9.991703
Restaurant_longitude               76.293136
Delivery_location_latitude         10.001703
Delivery_location_longitude        76.303136
Order_Date                        17-02-2022
Time_Orderd                             8:10
Time_Order_picked                       8:15
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   24.000000
Name: 4639, dtype: object
