ID                                    0x3dcf
Delivery_person_ID             VADRES17DEL01
Delivery_person_Age                    28.00
Delivery_person_Ratings                 4.90
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        21-03-2022
Time_Orderd                            10:55
Time_Order_picked                      10:60
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                     1.00
Festival                                  No
City                                   Urban
Time_taken (min)                       14.00
Name: 25320, dtype: object
