ID                                    0x1d0d
Delivery_person_ID             VADRES19DEL02
Delivery_person_Age                20.000000
Delivery_person_Ratings             4.900000
Restaurant_latitude                22.311844
Restaurant_longitude               73.165081
Delivery_location_latitude         22.331844
Delivery_location_longitude        73.185081
Order_Date                        24-03-2022
Time_Orderd                             9:35
Time_Order_picked                       9:40
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   10.000000
Name: 29783, dtype: object
