ID                                    0x6c3c
Delivery_person_ID             MUMRES09DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                18.994049
Restaurant_longitude               72.825203
Delivery_location_latitude         19.004049
Delivery_location_longitude        72.835203
Order_Date                        11-03-2022
Time_Orderd                             8:50
Time_Order_picked                       8:60
Weather conditions                     Windy
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   22.000000
Name: 36578, dtype: object
